State,Year,total_transacion_amount
karnataka,2024,398561948934500.0
maharashtra,2024,384394018878194.0
telangana,2024,365967660406426.0
andhra-pradesh,2024,334706040923592.0
karnataka,2023,298352174773042.0
uttar-pradesh,2024,288947053054374.0
telangana,2023,287491153173380.0
maharashtra,2023,281280418424876.0
andhra-pradesh,2023,265486506463542.0
rajasthan,2024,262935446774702.0
telangana,2022,241972409718371.12
maharashtra,2022,203988763761866.06
uttar-pradesh,2023,197411444504456.0
bihar,2024,192498575852908.0
madhya-pradesh,2024,186406680508542.0
rajasthan,2023,185119324352742.0
karnataka,2022,182109991904978.62
west-bengal,2024,166064941485040.0
andhra-pradesh,2022,145183404275302.0
madhya-pradesh,2023,128148603136970.0
rajasthan,2022,126628571037733.84
bihar,2023,126053534804990.0
odisha,2024,124901908154660.0
telangana,2021,116203487728571.12
uttar-pradesh,2022,115658067447138.5
maharashtra,2021,112310072837895.38
west-bengal,2023,109905688671662.0
karnataka,2021,106641302875897.56
tamil-nadu,2024,104973043015230.0
madhya-pradesh,2022,102715553946881.61
gujarat,2024,99367070435880.0
delhi,2024,97362084996384.0
haryana,2024,95352370255584.0
andhra-pradesh,2021,95255280950256.64
odisha,2023,87682172123728.0
tamil-nadu,2023,83145976010136.0
bihar,2022,80426626460180.84
delhi,2023,72305495496624.0
gujarat,2023,71397498454230.0
haryana,2023,70529035660512.0
west-bengal,2022,70005711750343.27
rajasthan,2021,69358668441755.984
delhi,2022,67323054095159.26
jharkhand,2024,64837661230940.0
tamil-nadu,2022,62672813248337.06
uttar-pradesh,2021,57445229090498.875
odisha,2022,56628648595594.46
chhattisgarh,2024,52871307338278.0
madhya-pradesh,2021,50188705285522.875
gujarat,2022,49522249420185.766
telangana,2020,49274867296290.32
karnataka,2020,46885387803312.03
jharkhand,2023,44373955404324.0
maharashtra,2020,43649250416778.42
andhra-pradesh,2020,43608411097000.48
haryana,2022,43032164041370.84
bihar,2021,40871695277737.48
delhi,2021,36956999906806.336
chhattisgarh,2023,36103872929384.0
assam,2024,35953769559474.0
west-bengal,2021,35023225173370.062
tamil-nadu,2021,34348255774272.305
odisha,2021,29855634179503.01
rajasthan,2020,27658399536644.1
punjab,2024,26337486912542.0
gujarat,2021,26230621077252.465
kerala,2024,26026618779408.0
assam,2023,25405291787278.0
uttar-pradesh,2020,24889260065600.207
jharkhand,2022,24120747467123.98
haryana,2021,23903447018900.367
kerala,2023,22015544081856.0
chhattisgarh,2022,21104445999288.008
punjab,2023,20957437727616.0
karnataka,2019,20572819026688.832
madhya-pradesh,2020,19880539028536.29
maharashtra,2019,19170504510375.402
telangana,2019,19080788789302.97
uttarakhand,2024,18179548648586.0
bihar,2020,16907744240513.863
assam,2022,16627886033770.217
delhi,2020,16455894854753.229
kerala,2022,16393142998152.94
punjab,2022,14902219141146.568
tamil-nadu,2020,14630481009974.15
west-bengal,2020,14371021191516.104
andhra-pradesh,2019,13982575734891.174
jammu-&-kashmir,2024,13739544326586.0
uttarakhand,2023,13470564259516.0
odisha,2020,12595867482388.818
jharkhand,2021,12378343394486.098
haryana,2020,11238602291655.879
uttar-pradesh,2019,11238467850662.834
gujarat,2020,11120141125042.164
rajasthan,2019,10976398467575.35
chhattisgarh,2021,10117739665861.537
delhi,2019,9682327910436.303
kerala,2021,9581417958178.15
uttarakhand,2022,9553165967673.402
punjab,2021,8448040451144.677
jammu-&-kashmir,2023,8099989121822.0
tamil-nadu,2019,7866616757949.78
madhya-pradesh,2019,7767996448802.409
assam,2021,7550514532322.034
west-bengal,2019,6916377171976.369
bihar,2019,6906678366384.073
himachal-pradesh,2024,5930259656698.0
gujarat,2019,5754581366220.069
odisha,2019,5648654278634.835
haryana,2019,5158452899688.185
goa,2024,5077354061702.0
jharkhand,2020,5057655844260.506
uttarakhand,2021,5042819917660.78
maharashtra,2018,4936059057278.103
himachal-pradesh,2023,4543521570978.0
karnataka,2018,4523140796906.957
chhattisgarh,2020,4390638173213.234
jammu-&-kashmir,2022,4281706126893.9614
punjab,2020,4044490791782.5303
goa,2023,4034472630474.0
kerala,2020,3880878835820.9995
himachal-pradesh,2022,3624079714296.317
uttar-pradesh,2018,3425994794666.1074
arunachal-pradesh,2024,3183316231784.0
andhra-pradesh,2018,3173872381433.331
telangana,2018,3064479269643.1323
west-bengal,2018,2901306600847.91
assam,2020,2872811007363.8755
jammu-&-kashmir,2021,2872396446284.2197
tamil-nadu,2018,2704508772962.3926
delhi,2018,2489669212899.705
goa,2022,2266907105044.7046
rajasthan,2018,2247316111586.925
uttarakhand,2020,2239861474713.339
dadra-&-nagar-haveli-&-daman-&-diu,2024,2219309093638.0
punjab,2019,2212207432465.184
madhya-pradesh,2018,2149186903441.8882
jharkhand,2019,2128455163246.371
arunachal-pradesh,2023,2117868167948.0
chandigarh,2022,2103348104326.4636
tripura,2024,2034457669374.0
himachal-pradesh,2021,2029629264547.3118
chhattisgarh,2019,1988842959449.2593
puducherry,2024,1953351105056.0
chandigarh,2024,1902152817708.0
meghalaya,2024,1778186874906.0
bihar,2018,1770227961558.371
puducherry,2023,1640031227952.0
gujarat,2018,1623389522449.0642
kerala,2019,1582036015453.516
manipur,2022,1561944765658.2717
haryana,2018,1556878465502.3738
odisha,2018,1550648525338.9885
tripura,2023,1541189860522.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1534487651268.0
chandigarh,2023,1532630045856.0
puducherry,2022,1244327311486.246
nagaland,2024,1229754298448.0
assam,2019,1226926902279.4033
goa,2021,1218770258547.4927
meghalaya,2023,1207675010698.0
sikkim,2024,1143042423848.0
manipur,2024,1140729187078.0
chandigarh,2021,1097292594184.6427
himachal-pradesh,2020,1038998444550.7291
ladakh,2024,1032678487750.0
jammu-&-kashmir,2020,1002597119681.1241
uttarakhand,2019,989944810435.3738
manipur,2021,988661662143.808
arunachal-pradesh,2022,927414214606.4685
nagaland,2023,887293478734.0
tripura,2022,837900061165.711
sikkim,2023,833059873100.0
puducherry,2021,820346033013.8461
andaman-&-nicobar-islands,2024,799232770622.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,749124902594.9991
meghalaya,2022,742135464373.8585
ladakh,2023,682075793672.0
jharkhand,2018,675980502803.0411
punjab,2018,658140601412.6414
nagaland,2022,614109702369.3026
manipur,2023,609909368744.0
chhattisgarh,2018,575433189209.2196
sikkim,2022,561594874866.5275
himachal-pradesh,2019,548614241109.3021
andaman-&-nicobar-islands,2023,544258574938.0
arunachal-pradesh,2021,543187819821.9515
chandigarh,2020,525461067414.9383
kerala,2018,503359598488.007
jammu-&-kashmir,2019,460873508359.9292
tripura,2021,433278538246.07733
manipur,2020,416408909098.3054
dadra-&-nagar-haveli-&-daman-&-diu,2021,415872076405.09894
goa,2020,412415223752.0945
mizoram,2024,411154263598.0
nagaland,2021,394946372093.9621
uttarakhand,2018,352797793787.33075
jammu-&-kashmir,2018,344655967263.7681
assam,2018,343396233457.61865
mizoram,2023,332654395658.0
puducherry,2020,330041787521.49774
chandigarh,2019,325294945429.7054
andaman-&-nicobar-islands,2022,314866674946.7617
ladakh,2022,313768936517.17426
sikkim,2021,307545873230.96576
meghalaya,2021,282539357999.4588
arunachal-pradesh,2020,244105630644.69302
tripura,2020,230929535262.7026
goa,2019,207766469057.173
mizoram,2022,206245577929.3299
dadra-&-nagar-haveli-&-daman-&-diu,2020,184481441014.21933
nagaland,2020,177194902216.79062
ladakh,2021,176233168577.23364
himachal-pradesh,2018,160868435226.73874
puducherry,2019,143277071853.98465
mizoram,2021,142178255751.55884
sikkim,2020,141135737443.7137
meghalaya,2020,138194460789.53366
chandigarh,2018,129391722770.09259
andaman-&-nicobar-islands,2021,128062690096.3104
dadra-&-nagar-haveli-&-daman-&-diu,2019,100254018500.3341
tripura,2019,99618844196.00372
arunachal-pradesh,2019,90111429069.79553
manipur,2019,89625579867.85371
sikkim,2019,84710962125.8339
ladakh,2020,74070974813.26187
goa,2018,68864448012.42075
mizoram,2020,66137169903.75334
nagaland,2019,63635052120.45857
meghalaya,2019,58412211655.316124
dadra-&-nagar-haveli-&-daman-&-diu,2018,41187103574.35517
puducherry,2018,38869397627.31932
tripura,2018,37794110139.54669
manipur,2018,35627038183.095726
andaman-&-nicobar-islands,2020,33707008825.27252
arunachal-pradesh,2018,29305223068.799793
mizoram,2019,28955182207.074467
ladakh,2019,27766292194.380623
nagaland,2018,22389579665.666275
sikkim,2018,21490705847.045074
meghalaya,2018,18998050972.4408
lakshadweep,2024,18627179740.0
andaman-&-nicobar-islands,2019,12310083680.79941
mizoram,2018,11329843620.899565
lakshadweep,2023,10339363918.0
ladakh,2018,7266521078.604819
lakshadweep,2022,5544835864.783078
andaman-&-nicobar-islands,2018,4915978702.406346
lakshadweep,2021,3749917490.77873
lakshadweep,2020,2128449489.0408363
lakshadweep,2019,1012708566.610526
lakshadweep,2018,439885334.9926624
