State,Brand,Total_Active_Users
odisha,OnePlus,24713316.0
chandigarh,Samsung,18841356.0
uttar-pradesh,Apple,128816010.0
arunachal-pradesh,Oppo,7724196.0
uttar-pradesh,OnePlus,25404246.0
jharkhand,Micromax,3734082.0
uttarakhand,Others,59429484.0
tripura,Xiaomi,23731704.0
ladakh,Micromax,5490.0
uttar-pradesh,Micromax,13549230.0
kerala,Lenovo,28326186.0
gujarat,Motorola,43557768.0
karnataka,Others,338442426.0
bihar,,
tamil-nadu,Oppo,372665862.0
punjab,Oppo,170083890.0
sikkim,Samsung,10546344.0
ladakh,Vivo,3227058.0
rajasthan,Oppo,517630950.0
uttarakhand,Lava,1232154.0
uttarakhand,Realme,41617890.0
jharkhand,Lenovo,14646906.0
ladakh,Lenovo,126882.0
gujarat,Lenovo,52432722.0
manipur,Xiaomi,29290500.0
himachal-pradesh,Oppo,41961168.0
lakshadweep,OnePlus,24840.0
manipur,Gionee,68094.0
arunachal-pradesh,Lenovo,44298.0
odisha,Motorola,46458666.0
punjab,Others,74651436.0
uttar-pradesh,Huawei,107842626.0
arunachal-pradesh,Gionee,584748.0
assam,Oppo,96148026.0
rajasthan,Realme,226378602.0
haryana,Oppo,284244462.0
tamil-nadu,Others,306653724.0
andaman-&-nicobar-islands,Motorola,227034.0
nagaland,Micromax,330048.0
telangana,Apple,161420868.0
jammu-&-kashmir,Tecno,377982.0
maharashtra,Huawei,93422088.0
jharkhand,Infinix,2841570.0
himachal-pradesh,Gionee,3326814.0
karnataka,Apple,209390004.0
dadra-&-nagar-haveli-&-daman-&-diu,Xiaomi,16138998.0
karnataka,,
tripura,Samsung,21020328.0
ladakh,,
nagaland,Huawei,787626.0
andhra-pradesh,Apple,102517074.0
ladakh,Motorola,214452.0
puducherry,Oppo,7559514.0
dadra-&-nagar-haveli-&-daman-&-diu,Others,5996682.0
punjab,Apple,85327200.0
sikkim,Huawei,119664.0
puducherry,Realme,3661308.0
nagaland,Infinix,123228.0
maharashtra,Samsung,1742504274.0
jammu-&-kashmir,Samsung,53002638.0
jharkhand,Others,105489216.0
puducherry,Others,5910138.0
delhi,OnePlus,70083486.0
rajasthan,Tecno,52676622.0
tripura,,
tamil-nadu,Huawei,103751334.0
telangana,,
chandigarh,Motorola,2048220.0
haryana,Vivo,414318042.0
uttarakhand,Micromax,2411604.0
tamil-nadu,Samsung,645449850.0
dadra-&-nagar-haveli-&-daman-&-diu,Lenovo,886860.0
mizoram,,
jharkhand,Gionee,4625226.0
uttarakhand,HMD Global,622134.0
delhi,Tecno,9566550.0
gujarat,Oppo,466686738.0
uttar-pradesh,Realme,478766160.0
rajasthan,Motorola,32193738.0
arunachal-pradesh,Apple,1019394.0
andhra-pradesh,Huawei,94982562.0
lakshadweep,Samsung,138852.0
west-bengal,Realme,271497852.0
chhattisgarh,OnePlus,14395770.0
tripura,Motorola,1432098.0
delhi,Motorola,63092844.0
gujarat,,
gujarat,Tecno,10298880.0
nagaland,Lenovo,184032.0
ladakh,Others,610218.0
kerala,Xiaomi,327941442.0
ladakh,Huawei,189792.0
sikkim,Micromax,17892.0
bihar,Huawei,45304326.0
uttar-pradesh,Samsung,1180264446.0
haryana,Huawei,33911712.0
madhya-pradesh,Tecno,29813562.0
arunachal-pradesh,Infinix,42444.0
assam,Realme,66119562.0
chhattisgarh,Realme,75233286.0
goa,Motorola,3708072.0
lakshadweep,Motorola,9828.0
punjab,Micromax,449244.0
madhya-pradesh,Samsung,569781972.0
kerala,Vivo,173051568.0
puducherry,Vivo,13886064.0
haryana,OnePlus,43507908.0
nagaland,Motorola,12600.0
andhra-pradesh,Motorola,114971364.0
puducherry,Motorola,2078100.0
nagaland,Gionee,764820.0
jammu-&-kashmir,Vivo,36284328.0
andhra-pradesh,Lenovo,62399916.0
nagaland,Asus,633150.0
manipur,Samsung,10410678.0
sikkim,Realme,1637658.0
west-bengal,Infinix,9710478.0
bihar,Others,252383256.0
uttar-pradesh,Tecno,47905452.0
mizoram,Motorola,48852.0
himachal-pradesh,Apple,8810676.0
andhra-pradesh,OnePlus,95543586.0
tripura,Lenovo,992466.0
chandigarh,,
andaman-&-nicobar-islands,Others,852354.0
karnataka,Huawei,90821862.0
assam,Vivo,139842756.0
karnataka,Motorola,146947968.0
lakshadweep,Vivo,197568.0
uttar-pradesh,Vivo,1100065608.0
assam,OnePlus,1752282.0
andaman-&-nicobar-islands,Tecno,110430.0
maharashtra,Lenovo,85636368.0
kerala,Motorola,29299482.0
mizoram,Others,1396044.0
odisha,Huawei,30895650.0
meghalaya,Realme,3106008.0
jharkhand,Motorola,21757176.0
chandigarh,Oppo,12241494.0
dadra-&-nagar-haveli-&-daman-&-diu,,
manipur,Motorola,520092.0
lakshadweep,COOLPAD,180.0
meghalaya,Tecno,62478.0
uttar-pradesh,,
gujarat,Realme,155087928.0
puducherry,Xiaomi,16598394.0
jharkhand,Apple,13726350.0
uttarakhand,,
himachal-pradesh,Vivo,47725992.0
sikkim,HMD Global,329868.0
ladakh,Oppo,2206854.0
uttar-pradesh,Infinix,40554648.0
jharkhand,Huawei,11341422.0
puducherry,Huawei,2684394.0
chhattisgarh,Infinix,2518956.0
west-bengal,Others,429405516.0
himachal-pradesh,Micromax,3421620.0
sikkim,Xiaomi,7048962.0
bihar,Motorola,49535568.0
madhya-pradesh,Oppo,397392246.0
