state,total_registered_users,total_app_opens
goa,17437286,528329279
arunachal-pradesh,8046446,1117277209
puducherry,10407148,177962415
haryana,306022101,8259126213
assam,111842317,9436508709
manipur,9389131,498985094
odisha,290005345,14493923288
tripura,13862627,671717197
chandigarh,12855589,172230820
jharkhand,169283936,10907909802
rajasthan,555774493,48507630334
madhya-pradesh,470663624,39708500796
meghalaya,6185282,1078448726
nagaland,6297675,479729729
punjab,171432251,5142232156
gujarat,459154666,20780416980
jammu-&-kashmir,40162530,2709558059
delhi,324608095,4847106329
tamil-nadu,506486772,16992199376
karnataka,733674236,38344879267
himachal-pradesh,49799825,2197083175
lakshadweep,142697,5048344
maharashtra,1140138243,49616423987
mizoram,2701061,368884295
ladakh,2271369,294111791
sikkim,4868004,286970076
chhattisgarh,142291017,11190410814
kerala,204758075,3968667568
dadra-&-nagar-haveli-&-daman-&-diu,10080195,207734903
uttar-pradesh,942334146,33236833684
uttarakhand,86930925,3413394921
andaman-&-nicobar-islands,1842465,170043693
andhra-pradesh,556747126,24728024309
telangana,524620520,23197773412
west-bengal,524964358,10943818827
bihar,446115282,13608259251
